datetime,open,high,low,close
2023-04-07,1.09188,1.0924,1.08759,1.09014
2023-04-06,1.09058,1.09376,1.0883,1.09176
2023-04-05,1.09549,1.09696,1.089,1.09057
2023-04-04,1.09011,1.09733,1.0881,1.0954
2023-04-03,1.08418,1.09166,1.0787,1.09006
2023-03-31,1.09042,1.09257,1.0835,1.08381
2023-03-30,1.08403,1.09263,1.0823,1.09046
2023-03-29,1.08399,1.08713,1.0817,1.08395
2023-03-28,1.07963,1.08485,1.07937,1.08399
2023-03-27,1.07645,1.08001,1.0743,1.07967
2023-03-24,1.08325,1.08385,1.0712,1.07588
2023-03-23,1.0859,1.093,1.0823,1.08321
2023-03-22,1.0768,1.09125,1.0757,1.0858
2023-03-21,1.07192,1.07886,1.0702,1.07676
2023-03-20,1.06832,1.07309,1.0629,1.0719
2023-03-17,1.06121,1.06853,1.06075,1.06639
2023-03-16,1.0578,1.06356,1.0549,1.06125
2023-03-15,1.07317,1.076,1.0515,1.05766
2023-03-14,1.07273,1.07496,1.0677,1.07313
2023-03-13,1.06938,1.07486,1.0649,1.07263
2023-03-10,1.05788,1.07007,1.0572,1.06387
2023-03-09,1.0543,1.05912,1.05377,1.05791
2023-03-08,1.0549,1.05738,1.0524,1.0543
2023-03-07,1.06791,1.06944,1.0544,1.0549
2023-03-06,1.06237,1.06943,1.062,1.06791
2023-03-03,1.05963,1.06393,1.0587,1.06337
2023-03-02,1.0666,1.0673,1.0575,1.05966
2023-03-01,1.05743,1.06914,1.0564,1.0666
2023-02-28,1.0609,1.06451,1.0572,1.05748
2023-02-27,1.05451,1.06198,1.0531,1.0608
2023-02-24,1.05934,1.06142,1.0535,1.05437
2023-02-23,1.06031,1.06276,1.0576,1.0596
2023-02-22,1.06464,1.06638,1.0598,1.06034
2023-02-21,1.0685,1.06981,1.0636,1.06457
2023-02-20,1.06868,1.07046,1.0669,1.06841
2023-02-17,1.06719,1.06983,1.0611,1.06929
2023-02-16,1.06871,1.07223,1.0653,1.06725
2023-02-15,1.07361,1.07444,1.0659,1.0688
2023-02-14,1.07216,1.08044,1.0706,1.07366
2023-02-13,1.06807,1.073,1.0654,1.07207
2023-02-10,1.07366,1.07527,1.0665,1.06754
2023-02-09,1.07099,1.07907,1.07065,1.07398
2023-02-08,1.07247,1.07607,1.0708,1.07099
